20170515,    CBO     ,23,201705,    C     ,104630,1.1,5   
20170515,    CBO     ,23,201705,    C     ,104630,1.1,5
20170515,    ABO     ,23,201705,    C     ,104630,1.1,5
20170515,    CBO     ,23,201705,    C     ,104645,1.11,5
20170515,    CBO     ,23.5,201705,    C     ,124345,0.57,5
20170515,    CBO     ,23.5,201705,    C     ,124400,0.56,5
20170515,    CBO     ,25,201705,    P     ,104630,0.91,5
20170515,    CBO     ,25,201705,    P     ,111206,0.9,5
20170515,    CBO     ,25,201706,    C     ,102842,0.17,2     
20170515,    CCO     ,10,201705,    P     ,101818,0.01,5
20170515,    AEO     ,48,201705,    C     ,95334,0.16,1
